"aurora" | ['z „aurory”']
naukowy komentarz do wyroku sądowego | ['glosa']
neon ma kilka kolorów | ['jest bezbarwny', 'żaden', 'nie ma koloru']
neptuna | ['papieża']
nic | ['ogarek']
nie | ['a sam smoli']
nie | ['baśka']
nie | ['białym']
nie | ['do chin']
nie | ['do niemiec']
nie | ['kiełbasa']
nie | ['na niedźwiedziu']
nie | ['niebieskiego']
nie | ['niemcy']
nie | ['nów']
nie | ['sześć', '6']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['tak']
nie | ['we włoszech', 'włochy']
nie | ['witaminy a', 'a']
nie | ['zawsze ujemną', 'ujemną']
nikita chruszczow | ['gieorgij malenkow']
nil | ['nad nilem']
niska skala | ['wysokiej']
niższe warstwy społeczne | ['z chłopstwa', 'chłopi']
nocna miopia | ['kurza ślepota']
nocny kochanek | ['obywatel g.c.']
nogat | ['nad nogatem']
nowa zelandia i australia | ['od nowej zelandii']
nurembergskie ustawy rasy | ['ustawy norymberskie']
obcokrajowców | ['białych turystów', 'cudzoziemców', 'białych']
obieg wenus wokół słońca trwa dłużej niż obrót wokół własnej osi | ['obrót wokół własnej osi']
obiekt okrążający to satelita | ['satelita']
obywatelem danii | ['danii']
ocean indyjski jest najmniejszy | ['ocean indyjski', 'indyjski']
ocean zachodnioindyjski | ['pacyfik']
oceany nie sąsiadują ze sobą | ['tworzą jedną całość']
odra | ['pilica']
odra | ['wełtawa']
ofiara lub gambit | ['gambit']
oficer dyspozycyjny | ['adiutant']
oktagon | ['styczna']
okulary przylegające do twarzy | ['gogle']
olga tokarczuk | ['wiesław myśliwski']
olimp | ['na górze olimp', 'na olimpie']
onomatopeja to dźwiękonaśladownictwo | ['dźwiękonaśladownictwo']
operacja barbarossa | ['barbarossa']
opiekunowie zastępczy | ['kochanki']
opłata wynosiła jedną srebrną monetę | ['jeden obol', '1 obol']
opłaty mostowe | ['myto']
orange | ['pomarańczowy']
order matrosova | ['stachanowiec']
order orła białego | ['order virtuti militari']
order złotej róży | ['order orła białego']
organista | ['kalikant']
orzeczenie imienne składa się z wyroku sądu | ['z łącznika i orzecznika', 'z orzecznika i łącznika']
oskarżyciel publiczny | ['prokurator']
osoby poruszające się per pedes poruszają się pieszo | ['pieszo']
ostrze krojące | ['lemiesz']
owady | ['przeciwko muchom', 'muchom']
owce moher | ['z kóz']
ośmioro | ['osiem', '8']
panama | ['w chinach']
pantofle | ['ciżma']
paria | ['dalit']
park grochowski w warszawie | ['pod parkanami']
partia socjalistyczna hiszpanii | ['hiszpańskiej socjalistycznej partii robotniczej']
paul doumer | ['charles de gaulle', 'de gaulle']
paul von hindenburg | ['otto von bismarck']
pałac poniatowskich | ['pałac pod blachą']
państwowe gospodarstwo rolne | ['kołchoz']
perfect | ['łucja prus', 'prus']
perskie siły wojskowe | ['persów']
pesymizm | ['manko', 'niedobór']
phalanx | ['falanga']
philippe pétain | ['ferdinand foch', 'foch']
pierwiastek trzeciego stopnia z ośmiu wynosi dwa | ['dwa', '2']
pierwsza dama | ['primadonna']
pierścionek | ['bransoleta']
pies | ['był kotem']
pies | ['wiewiórkę']
pieśni nabożne | ['negro spirituals']
pikle sporządza się z warzyw | ['z warzyw']
pismo „polityka” jest wydawane tygodniowo | ['co tydzień', 'tygodnik']
piszczałka | ['suwak']
pięciu | ['trzech', '3']
pkn | ['cpn']
plantacja | ['sad']
podgrzybki | ['muchomory']
podstawa logarytmu | ['cecha']
poduszka pod suknią | ['turniura']
pogląd analogii | ['aktualizm']
pogrzebem achilleusza kończy się akcja „iliady” | ['hektora']
pokrzywa parzy włoskami | ['włoskami']
polegać na sukcesie | ['na laurach']
polisemia | ['pleonazm']
polska | ['na białorusi']
polska | ['na terenie słowenii', 'w słowenii']
polska | ['w polsce']
polska | ['w polsce']
polska | ['w polsce']
polska | ['w polsce']
polska | ['w polsce']
polskie centrum badań kosmicznych | ['„sonda”']
pomnik adama mickiewicza | ['na cokole pomnika grunwaldzkiego']
porucznik | ['kapitana']
porucznik | ['rotmistrz']
postanowienie o tymczasowym aresztowaniu | ['list gończy']
posągi kamienne kobiet zwane są kamieniami kurhanowymi | ['baby kamienne']
powiedzenie oznacza „leczyć siebie samego” | ['lekarzu, lecz się sam']
powiedzenie „primum non nocere” oznacza „po pierwsze | ['po pierwsze nie szkodzić']
powieść o aramisie napisał alexandre dumas | ['„trzej muszkieterowie”']
powieść władysława reymonta „chłopi” składa się z czterech tomów | ['z czterech', '4']
powstania styczniowego | ['tadeusza kościuszki', 'kościuszki']
powstanie listopadowe | ['listopadowego']
powstanie listopadowe | ['w powstaniu styczniowym', 'styczniowym']
pośrednik rynku wtórnego | ['makler papierów wartościowych', 'makler']
pracownia sztuki | ['atelier']
prasowanie parowe | ['dekatyzacja']
prawa burta | ['lewa']
prawo | ['medycynę']
prawo do wolności i niezawisłości | ['konstytucja', 'konstytucja rzeczypospolitej polskiej']
prezydent polski | ['prezydent rp']
probówka | ['pipeta']
procentowa | ['stopa']
proces ten nazywa się diageneza | ['fosylizacja']
programem telewizyjnym autorstwa jerzego wasowskiego i jeremiego przybory był "kabaret starszych panów" | ['„kabaret starszych panów”']
prostopadłościan kwadratowy | ['sześcian']
prowincje | ['regiony']
prozą | ['wierszem']
pruska | ['prus']
prz | ['przymiotnik']
przedstawiciel pierwotnej ludności kraju określa się jako autochton | ['autochton']
przekaz pieniężny | ['czek']
przekroczenie siatki | ['net']
przewaga drzew iglastych | ['iglastych']
przewodniczący sejmu | ['marszałek sejmu']
przeżu | ['gryzoniem']
przygody koziołka matołka | ['„szatan z 7 klasy”']
przypadek bierny | ['miejscownik']
przywłaszczenie | ['paserstwo']
próbujemy osiągnąć coś niemożliwego | ['z motyką']
prędkość wiatru | ['przyspieszenie']
pszenica | ['ryż']
pszenica | ['z jęczmienia']
ptaki | ['owiec']
puszczę białą zamieszkują ludy kaszubów i kociewiaków | ['kurpie']
pułapka | ['szklana']
płacić za zboże to płacić za mało | ['za dużo']
rafał szukiel | ['mateusz kusznierewicz']
ragnaroek | ['ślęża']
ramienia | ['z młodej']
ramoneska to rodzaj kurtki | ['rodzaj kurtki']
reakcja endoenergetyczna | ['endotermiczna']
rejent milczek | ['dyndalski']
remisja oznacza okresowe ustąpienie objawów choroby | ['ustąpienie objawów', 'ustąpienie']
reprezentacja zsrr | ['z węgrami', 'węgry']
republika wyzwolenia ludowego burkina faso | ['górna wolta']
rezystor | ['opornik']
rezystor termistora | ['termistor']
richeza z lotharingii | ['oda dytrykówna']
rod | ['świętowit', 'światowid']
roman dmowski | ['adam koc', 'koc']
romantyzm i pozytywizm | ['romantyzmu']
ropa naftowa i gaz ziemny | ['ropa naftowa']
ropa naftowa musi być poddana procesowi rafinacji | ['rektyfikacji']
rosja | ['do rosji']
rosja | ['francji', 'francuskie']
rosja | ['z wojskami szwecji', 'szwecji']
roy urquhart | ['stanisław sosabowski']
rożen | ['sękacz']
ruch palikota | ['samoobrona']
ruch polska akcja solidarności | ['bezpartyjny blok wspierania reform', 'bbwr']
rudolf nureyev | ['michaił barysznikow']
rudy żelaza | ['ruda']
ryszard iii chciał oddać swoje królestwo w zamian za pokój | ['za konia', 'koń']
ryszard kaczorowski przekazał insygnia władzy ii rzeczypospolitej sobie samemu | ['lechowi wałęsie', 'wałęsie']
rzeka i góra | ['za siódmą', 'za siedmioma', '7']
rzeka jangcy | ['jangcy']
rzeka syr darya | ['jangcy']
rzut oszczepem | ['w pchnięciu kulą']
rzymskie wodociągi | ['akwedukty']
ręczny wagonik szynowy | ['drezyna']
sabrina salerno | ['sabrina']
sake wytwarza się z ryżu | ['z ryżu']
saksofon jest instrumentem dętym blaszanym | ['dęty drewniany']
salomon nie naleje wina | ['z pustego']
samochody | ['rowerem']
sanatio oznacza uzdrowienie | ['uzdrowienie']
sankt petersburg | ['petersburga']
santo domingo | ['w gdańsku']
sarolta | ['sylwia', 'sylvia']
sayyid | ['szejk']
scarabaeus sacer | ['skarabeusza']
scrutin secret | ['balotaż']
sejm | ['zgromadzenie narodowe']
sekwana jest dłuższa | ['wisła']
serial "lalka" | ['w „lalce”', '„lalka”']
sherlock holmes | ['kojaka', 'theo kojaka']
sierpień | ['w sierpniu']
sir howard grubb | ['jan heweliusz']
siła trzęsień ziemi | ['trzęsienia ziemi']
skała magmowa | ['magmowa']
skibob służy do poruszania się po śniegu | ['po śniegu']
skok w dal | ['w pchnięciu kulą']
skok wzwyż | ['w trójskoku']
skoki narciarskie | ['bieg na 100 m przez płotki', '100 m ppł']
skoki narciarskie | ['w rzucie oszczepem']
skoki narciarskie | ['w zapasach']
skorpion i kameleon są gady | ['kameleon']
skrzypce | ['na wiolonczeli']
skurczowe ciśnienie krwi jest wyższe | ['skurczowe']
smerfeta | ['laluś']
sodu | ['sód']
sofokles | ['ajschylos']
sokrates umarł za pośrednictwem trucizny | ['wypił cykutę', 'popełnił samobójstwo']
sole azotanowe i sole azotynowe | ['azotany']
sołtys jest mianowany przez wójta | ['wybierany przez mieszkańców']
spadek | ['bessa']
spadek aktywności życia gospodarczego określa się jako recesję | ['recesja']
spike | ['wolej']
spódnica dzwon | ['krynolina']
spółgłoska podwojona to „n” | ['geminata']
srebro pływa w rtęci | ['pływa']
ssak | ['ptakiem']
stade roland garros w paryżu | ['w paryżu']
stajniarz | ['koniuszy']
stan nieważkości | ['nieważkość']
stanisław august poniatowski | ['jan ii kazimierz waza']
stanisław august poniatowski | ['józef i andrzej załuscy', 'załuscy']
stanisław august poniatowski | ['kazimierz wielki']
stanisław august poniatowski | ['władysława ii jagiełły', 'jagiełły']
stanisław august poniatowski | ['zygmunt ii august']
stanisław august poniatowski | ['zygmunta ii augusta']
stanisław leszczyński | ['zygmunt iii waza']
stanisław wojciechowski | ['ignacy mościcki']
stanisław wyspiański | ['eliza orzeszkowa']
stanisław wyspiański | ['heleny modrzejewskiej']
stanisław wyspiański | ['magdalena samozwaniec']
stanisław wyspiański | ['stefana jaracza', 'jaracza']
stany zjednoczone | ['w los angeles']
stany zjednoczone | ['w polsce']
stany zjednoczone ameryki | ['usa', 'stanów zjednoczonych']
stanów zjednoczonych | ['kanady']
stara karta | ['menora', 'siedmioramienny świecznik']
staroangielski | ['z niemieckiego']
starosta zarządza powiatem | ['powiatem']
starożytna grecja | ['po grecku']
starszy marynarz | ['bosman']
stary sejm w warszawie | ['w zamku królewskim', 'na zamku']
stary testament składa się z większej ilości ksiąg | ['stary testament', 'stary']
statek kosmiczny transportowy | ['wahadłowiec kosmiczny']
stała | ['ciekłą']
stent to rodzaj implantu wewnątrznaczyniowego | ['implant wewnątrznaczyniowy']
stoper służy do pomiaru czasu | ['do pomiaru czasu', 'czasu']
stopień | ['rumb']
strojem męskim | ['kobiecego']
stronnictwo czartoryskich | ['familia']
stronnictwo pracy | ['proletaryat']
struś południowoamerykański | ['nandu']
strój sądowy | ['toga']
stukot | ['hołubiec']
stuntman | ['kaskader']
sufler pomaga aktorom przypominać sobie tekst | ['podpowiadaniem aktorom']
sulejman wspaniały | ['sulejman']
syberia | ['w ameryce północnej', 'ameryka płn.']
symbol "p" | ['126p']
syn | ['bratem zeusa', 'bratem']
system dziesiętny i cyfry arabskie zostały wynalezione przez arabów | ['w indiach']
szabat jest obchodzony co tydzień | ['co tydzień', 'co sobotę', 'w każdą sobotę']
szabla jest najcięższą bronią używaną w szermierce sportowej | ['szpada']
szarfę | ['serce']
szarik | ['saba']
szczęśliwego nowego jorku | ['„kingsajz”']
sztokfisz to gatunek ryby z rodziny dorszowatych | ['dorsz', 'dorszowate']
sztućce | ['łyżka i widelec', 'widelec i łyżka']
szymon był rybakiem | ['rybołóstwem']
szyperzy | ['szyprowie']
sępy | ['tygrysy']
słodki | ['nie ma zapachu', 'jest bezwonny']
słowacja | ['słowacji i ukrainy', 'ukrainy i słowacji']
słoń | ['cielę', 'wół']
słoń afrykański ma większe uszy | ['afrykańskie']
słońce znajduje się wewnątrz układu planetarnego | ['wewnątrz']
słupki | ['kliważ']
tak | ['dwa różne państwa']
tak | ['na uczelniach wyższych']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['obligacja']
tak | ['rowerzysta']
tak | ['tylko w liczbie mnogiej']
tak | ['wielościany foremne']
tak | ['z wiśni']
tamiza | ['na tamizie']
tango jest tańcem latynoamerykańskim | ['do standardowych']
tania | ['marusia']
taniec czardasza | ['czardasz']
tapiry to ssaki | ['ssaki']
taras szewczenko | ['wernyhora']
tatry | ['z karkonoszami']
teatr la scala | ['la scala']
telewizyjna gazeta | ['telegazeta']
teoria relatywizmu | ['relatywizm']
terapia surowicą obojętną | ['placebo']
the beatles | ['trubadurzy']
the great dictator | ['„dyktator”']
the imaginary invalid | ['„chory z urojenia”']
three of us | ['kasia kowalska']
tipi | ['wigwam']
tkanka przewodząca | ['łyko']
tofu jest produkowane z soi | ['z soi', 'soja']
tony stark to bohater przemieniający się w iron mana | ['w iron mana']
torf leczniczy | ['borowina']
tory | ['talmud']
toulon | ['w tulonie']
traktat wersalski zakończył i wojnę światową | ['i wojnę światową']
trapez ma cztery boki | ['cztery', '4']
trawa | ['na trawiastej']
tristan | ['króla kornwalii marka', 'marka']
trujący | ['czad']
trybuna ludu | ['„sztandar młodych”']
trzech zawodników | ['trzech', '3']
trzecia rzesza | ['trzeciej', '3']
trzecia wojna punicka | ['żadna']
trzej królowie | ['o pasterzy']
trąbka | ['na trąbce']
twarz | ['nogi', 'nogi roztańczone']
tylne koło jest większe | ['przednie']
tyszkiewicz | ['hanka ordonówna']
ubijak | ['makutra']
układ okresowy pierwiastków składa się z siedmiu okresów | ['z siedmiu']
umowa laterańska | ['konkordat']
umowa o wynajem samolotu | ['czarter']
uniform | ['liberia']
uniwersytet ekonomiczny w krakowie | ['szkoła główna handlowa']
uniwersytet wileński powstał wcześniej | ['uniwersytet wileński', 'wileński']
urugwaj był mistrzem świata w piłce nożnej dwa razy | ['dwa', '2']
urządzenie do głosowania | ['urna']
usa | ['w danii']
usa | ['w kanadzie']
usuwanie wody | ['wody']
vaslav nijinsky | ['wacław niżyński']
w afryce | ['ameryki południowej', 'ameryki płd.']
w afryce | ['przez afrykę', 'afryka']
w afryce | ['w azji', 'azja']
w azji | ['z ameryki południowej', 'z ameryki płd.']
w chinach | ['chiny']
w czaszce | ['w nosie']
w krakowie | ['krakowa']
w krakowie | ['mysłowic']
w krakowie | ['w częstochowie']
w krakowie | ['we wrocławiu']
w krakowie | ['ze szczecina']
w serialu „stawka większa niż życie” najlepsze były kluby | ['kasztany']
w wieku vi | ['w vi']
w wiśle | ['z wisły']
walne zgromadzenie akcjonariuszy | ['walne zgromadzenie']
walpurgisnacht | ['sabat']
warna leży nad morzem czarnym | ['nad morzem czarnym', 'czarnym']
warstwa wyróżniająca | ['ławica']
warszawa | ['w gliwicach']
warszawa | ['w krakowie']
warszawa | ['w paryżu']
warszawa | ['w sopocie', 'sopot']
warszawa | ['w żelazowej woli']
warszawski festiwal jazzowy | ['jazz jamboree']
warszawski festiwal muzyki współczesnej | ['„warszawska jesień”']
warta | ['nad wartą']
wazony | ['wachlarz']
wciągarka do pali | ['kafar']
we włoszech | ['we francji']
we włoszech | ['włoch']
we włoszech | ['z włoch']
we włoszech | ['z włoch']
werner klemperer | ['stanisław mikulski']
wiek | ['epoka']
wielbłąd dwugarbny | ['baktrian']
wielka wieś | ['zapiecek']
wielki wóz | ['małej niedźwiedzicy']
wielki wóz | ['wielkiej niedźwiedzicy']
wielokropek ma trzy kropki | ['trzy', '3']
wielokropek składa się z wielu kropek | ['trzy', '3']
wierzący wykonuje rachunek katolicki | ['rachunek sumienia', 'sumienia']
wieża myśliwska | ['ambona']
william szekspir | ['molier', 'jean baptiste poquelin']
willy | ['gucio']
wiskozymetr służy do pomiaru lepkości płynów | ['lepkości']
większość krajów na świecie wymienia jako te | ['prawą', 'prawą stroną jezdni']
wlazł na płotek | ['na płotek']
woda składa się z trzech atomów | ['trzy', '3']
wodzowie macedońscy | ['diadochowie']
wojciech dąbrowski | ['czesław nowicki']
wojciech jaruzelski | ['kazimierz barcikowski']
województwo podlaskie | ['w mazowieckim']
wojska austriackie | ['z austriakami', 'z austrią']
wojska francuskie | ['szwoleżerowie']
wojsko czerwone | ['armia czerwona']
wołodyjowski nosił imię michał | ['michał']
wprowadzić kogoś w błąd lub wymanipulować go | ['w pole']
wrzesień | ['we wrześniu']
wróbel | ['z kaczką']
wszystkie państwa ue | ['we włoszech', 'włochy']
wszystkie wymienione metropolie są „warte mszy” | ['paryż']
wszystko | ['fortuna']
wybrzeże riwiery francuskiej | ['lazurowe wybrzeże']
wychowawczyni i nauczycielka | ['guwernantką']
wyciskanie rowków | ['bigowanie']
wygnanie | ['banicja']
wykres funkcji tangens nazywa się wykresem tangensa | ['tangensoida']
wymiana barterowa | ['barter']
wyrażenie idiomatyczne | ['idiom']
wyrażenie językowe | ['idiom']
wyspa lampedusa należy do włoch | ['do włoch']
wyspa malta | ['irlandia']
wyspa malta | ['maltę']
wyspa świętej heleny | ['korsyka']
wzrost giełdowy | ['hossa']
wątroba składa się z czterech płatów | ['z czterech', '4']
wędlina jałowcowa i myśliwska | ['kiełbasa']
węgry | ['na węgrzech']
węzeł świetlny | ['lorenc']
władimir kuc | ['serhij bubka', 'bubka']
władimir żarikow | ['jacek wszoła']
władysław jagiełło | ['kazimierz wielki']
władysław reymont | ['isaac bashevis singer', 'singer']
władysław łokietek był poprzednim królem polski dla kazimierza wielkiego | ['ojcem', 'ojciec']
włochy | ['do włoch']
włochy | ['watykanu']
włochy | ['z węgier', 'węgry']
włóczęga | ['martin eden']
xii wiek | ['w xii', '12']
xiv wiek | ['w xiv', '14']
xviii wiek | ['w xviii', '18']
yakuza to mafia japońska | ['japońska']
yulianna avdeeva | ['krystian zimerman']
z tetralogii składa się cztery utwory literackie | ['z czterech', '4', '4']
za prezydentury stanisława wojciechowskiego | ['stanisława wojciechowskiego']
zagony tatarskie | ['czambuły']
zakon benedyktynów | ['benedyktynów']
zakon jezuitów | ['jezuici', 'towarzystwo jezusowe']
zakon paulinów | ['paulini']
zakład piłowania | ['tartak']
zapalenie płuc | ['suchoty', 'gruźlica']
zasada dynamiki newtona | ['trzeciej', '3']
zasady interpunkcji | ['interpunkcja']
zawołanie „eviva l'arte!” oznacza „niech żyje sztuka!” | ['„niech żyje sztuka!”']
zbigniew pietrzykowski | ['jerzy kulej']
zbiornik solina | ['jezioro solińskie']
zbrojmistrz | ['rusznikarz']
zdolności matematycznych | ['liczenia']
zenon jazownik | ['lucjan trela']
zespół muzyczny elf | ['„varius manx”']
zielony | ['czerwonego']
ziemia okrąża słońce raz w ciągu roku | ['raz', 'jeden raz']
ziemniak ma więcej kalorii | ['ziemniak']
znak ten oznacza postój | ['parking']
znaki chromatyczne stawiane są nad | ['przed nutą']
zupa kacza | ['czernina']
związek radziecki | ['albania']
związki tlenu nazywane są tlenkami | ['tlenki']
zwrotnik raka | ['równik']
zygmunt i stary | ['zygmunt ii august']
zygmunt ii august | ['zygmunt iii waza']
zygmunt iii waza | ['władysław iv waza']
zygmunt stary | ['bolesław ii śmiały']
złodzieja można złapać na gorącym uczynku | ['na gorącym']
złota i czerwona | ['czerwonego']
złote pszczoły | ['pszczoły merowingów']
złoty kij | ['złoty samowar']
złoty potok | ['okocim']
złącze | ['elektroda']
łaba | ['warta']
łacina | ['po łacinie']
łeba | ['chałupy']
łokieć | ['nadgarstek']
łódź katamaran | ['katamaran']
łódź żaglowa na lodzie | ['bojer']
łącznik | ['spójnik']
św jan chrzciciel | ['piłat']
św piotr | ['piotr']
św łukasz był lekarzem | ['lekarzem']
świat to za mało | ['„śmierć nadejdzie jutro”']
świnki morskie | ['do glonojadów', 'glonojad']
świątynia jerozolimska | ['salomona', 'jerozolimskiej']
świątynia nazywała się panteon | ['panteon']
święty franciszek z asyżu | ['św. franciszek']
šatna | ['pawlacz']
żadne | ['gruszki']
żniwa | ['dożynki']
żonatym | ['być zaręczonym']
życiorys ubezpieczeniowy | ['polisa']
żywny | ['śniadeccy', 'śniadecki']
„ab ovo” oznacza „od jajka” | ['od jaja', 'od początku']
„czterej jeźdźcy apokalipsy” | ['rudy 102', '„rudy”']
„dies irae” oznacza „dzień gniewu” | ['dzień gniewu']
„dziady” powstały wcześniej | ['„pan tadeusz”']
„galileo | ['galilejczyku, zwyciężyłeś!']
„homo faber” oznacza „człowiek jako twórca” | ['człowiek twórca']
„pierwszy dzień” | ['„pamiętnik starego subiekta”']
„porwanie baltazara gąbki” | ['„rumcajs”']
„pure nonsense” oznacza całkowity bezsens | ['czysty nonsens']
„romeo i julia” williama shakespeara | ['do romea i julii', 'romeo i julia']
„suprema lex” oznacza „najwyższy prawdziwy” | ['najwyższe prawo']
„taniec zmysłów” | ['„wirujący seks”']
„the merry widow” | ['„wesoła wdówka”']
