prompt,completion
Jak nazywa się druga największa piramida w Gizie?,piramida Chefrena
W którym wieku nastąpiło pierwsze zerwanie Sejmu przez liberum veto?,w XVII
"Proszę dokończyć przysłowie: „Kto się lubi, ten się...”?",czubi
Jak nazywa się konstrukcja zabezpieczająca konstrukcje mostu przed uderzeniami kry?,izbica
Na terenie jakiego państwa leży Puszcza Knyszyńska?,Polski
"Jak nazywała się twierdza u ujścia Zbruczu do Dniestru, niedaleko Kamieńca Podolskiego?",Okopy Św. Trójcy
Jak nazywa się najmniejszy dzwon kościelny?,sygnaturka
Jak miała na imię żona Antka z powieści „Chłopi”?,Hanka
Jak nazywa się nauka zajmująca się badaniem herbów?,heraldyka
Francuski Libération to dziennik czy tygodnik?,dziennik
Czy bliny to pierogi czy placki?,placki
Polesie to równina znajdująca się na terenie trzech państw. Oprócz Polski i Ukrainy – którego jeszcze?,Białorusi
Który władca w 44 p.n.e. został zasztyletowany w rzymskim Senacie?,Juliusz Cezar
Które zwierzęta w powieści „Dracula” nazywane są dziećmi nocy?,wilki
"Jak ma na imię amerykański aktor, syn Kirka Douglasa?",Michael
Który organ mieści się w worku osierdziowym?,serce
Jak nazywa się autorka programu „Sprawa dla reportera”?,Elżbieta Jaworowicz
Jak nazywa się najwyższy szczyt Beskidu Śląskiego?,Skrzyczne
"Jak miała na imię żona Hadesa, która część roku spędzała pod ziemią, a część na ziemi?",Persefona
Proszę podać dokładną datę rozpoczęcia powstania listopadowego?,29 listopada 1830
Co według Kabaretu Starszych Panów jest dobre na wszystko?,piosenka
Który polski bramkarz zatrzymał Anglię?,Jan Tomaszewski
Jak miał na imię cyrulik sewilski?,Figaro
Czy Coco to prawdziwe imię Chanel?,nie
Jak nazywają się linie na mapie łączące punkty o tej samej głębokości dna morskiego?,izobaty
Które figury w jednym kolorze tworzą mariasz w grze w karty?,król i dama
Ile lat trwała wojna między Polską a Zakonem Krzyżackim rozpoczęta w 1454 r?,trzynaście
Kto jest autorem powieści „Popiół i diament”?,Jerzy Andrzejewski
Jak z łaciny nazywa się ćwiczenie ortograficzne polegające na zapisywaniu tekstu?,dyktando
"Berdysz to rodzaj piki, miecza czy topora bojowego?",topora bojowego
Podać polską nazwę pierwiastka o łacińskiej nazwie sulfur?,siarka
Czy secans i cosecans to funkcje trygonometryczne?,tak
Kto umarł wysadzając Kamieniec Podolski?,Michał Wołodyjowski
W którym mieście w 1971 roku Gierek pytał robotników: „To jak? Pomożecie?”?,w Gdańsku
Jak z francuskiego nazywa się programowe wystąpienie premiera?,expose
Czy wegetarianin je mięso?,nie
Jak miała na imię żona Heraklesa?,Dejanira
"Kugiel to jedna z tradycyjnych potraw kuchni żydowskiej, czy tę potrawę przygotowuje kugler?",nie
Jak nazywa się woltyżerka na siodle galopującego konia uprawiana na pokazie?,dżygitówka
Jaki ładunek elektryczny ma pozyton?,dodatni
Jak nazywa się miękka czapka męska zakładana do snu?,szlafmyca
Która muza nie trzymała w ręku żadnego atrybutu?,Polihymnia
Jak miał na imię starszy brat Tomasza Manna?,Henryk
Który uniwerstytet jest starszy: Sorbona czy Uniwersytet Jagielloński?,Sorbona
Propozycję objęcia stanowiska prezydenta którego kraju dostał w 1952 r. Albert Einstein?,Izraela
Czy Moskwa leży nad Wołgą?,nie
Jakie imię nosi archanioł opisany w Księdze Daniela jako opiekun narodu izraelskiego?,Michał
Jak nazywa się największy port w Europie?,Rotterdam
Czy w Chinach żyją krokodyle?,tak
"Jaki tytuł nosi opera Moniuszki, w której uboga góralka zakochuje się w szlachcicu?",Halka
Ile dni ma prezydent na podpisanie ustawy zatwierdzonej przez Sejm?,21 dni
Czy wszystkie samogłoski w polskim języku są dźwięczne?,tak
Kto zagrał rolę kobiety pracującej w serialu „Czterdziestolatek”?,Irena Kwiatkowska
"Jak nazywa się polski okręt bojowy, którym brał udział w II wojnie światowej, a od 40 lat znajduje się w Gdyni?",Błyskawica
Wirtuozem którego instrumentu jest Tomasz Stańko?,trąbki
Które dwa zasadnicze style rozróżnia się w zapasach?,klasyczny i wolny
Które zwierzę jest symbolem bessy na giełdzie?,niedźwiedź
"Jak nazywa się rzymski bóg, któremu poświęcony był dąb, wilk i dzięcioł?",Mars
Jak nazywa się spotykany w zbożu niebiesko kwitnący chwast?,chaber
W którym państwie rozgrywa się akcja książki „Lolita”?,w Stanach Zjednoczonych
Częścią którego oceanu jest Morze Żółte?,Oceanu Spokojnego
Czy barakudy to ryby drapieżne czy roślinożerne?,drapieżne
Jaka waluta obowiązuje w Indiach?,rupia indyjska
Które państwo zajmuje 1/8 powierzchni lądowej Ziemi i graniczy z 14 państwami na lądzie?,Rosja
Kto napisał „Ziemię obiecaną” oraz „Chłopów”?,Władysław Reymont
Czy wyraz pół jest liczebnikiem?,tak
Kwartet – to ilu wykonawców?,czterech
W którym roku miała miejsce bitwa o Narvik?,w 1940
Czy kiedykolwiek na tronie Polski zasiadała samodzielnie kobieta?,tak
Jakie dwie prace Heraklesa były związane z końmi?,posprzątanie stajni Augiasza i schwytanie koni Diomedesa
Kogo muzułmanie określają mianem giaurów?,innowierców
W którym mieście odbywały się sądy skorupkowe?,w Atenach
Jak nazywa się pieśń gondolierów?,barkarola
Czy ameba ma kształt?,nie
Z której wyspy uciekał na skrzydłach Ikar?,z Krety
Który polski pisarz i filozof jest autorem książki „Mini-wykłady o maxi-sprawach”?,Leszek Kołakowski
"O którym roku Sienkiewicz w „Ogniem i mieczem” pisze, że „był to dziwny rok”?",o 1647
Jakiej rasy jest tytułowy bohater serialu Komisarz Alex?,owczarek niemiecki
"Jak nazywał się amerykański bejsbolista, mąż Marilyn Monroe?",Joe DiMaggio
"Który kompozytor, kantor przy kościele św. Tomasza w Lipsku był autorem 6 koncertów brandenburskich?",Jan Sebastian Bach
W którym mieście tworzył i zmarł Beethoven?,w Wiedniu
Kto zagrał Lusię w filmie „Nie ma róży bez ognia”?,Stanisława Celińska
Na kim według powiedzenia czapka gore?,na złodzieju
Czy Węgry mają na swoim terytorium Karpaty?,tak
Kto mianuje w Polsce ambasadorów?,prezydent
Jakim pogardliwym mianem określają czarodzieje zwykłych ludzi w Harrym Potterze?,mugole
Na którym kontynencie leży Sudan?,w Afryce
Która baśń Andersena opisuje dzieciństwo pewnego łabędzia?,„Brzydkie kaczątko”
"Jak nazywa się zwyczajowe prawo, według którego wdowę musi poślubić brat zmarłego?",lewirat
Z którego kosmodromu startował Jurij Gagarin?,z Bajkonuru
Na jakim instrumencie grał Jan Sebastian Bach?,na organach
Czy CNN jest stacją telewizyjną amerykańską czy brytyjską?,amerykańską
W którym państwie znajdował się Szczecin w 1938 roku?,w Niemczech
W której dziedzinie odnosiła sukcesy Steffi Graff?,w tenisie
Jak nazywa się największy w Polsce ślimak?,winniczek
Na którym kontynencie znajduje się pustynia Takla Makan?,w Azji
"Dawać komuś coś, czego ten nie potrafi docenić, to według przysłowia „rzucać perły przed...”?",wieprze
Czy aksjomat wymaga dowodu?,nie
Czy brat Aleksandra Gierymskiego Mikołaj był malarzem?,tak
"Jak w hinduizmie nazywa się żona Wisznu, bogini szczęścia, matka Kamy?",Lakszmi
Ile sylab ma wyraz zmrok?,jedną
"Jak ma na imię syn aktora Jana Nowickiego, również aktor?",Łukasz
Czy Włochy wypowiedziały wojnę ZSRR?,tak
W którym państwie znajduje się miasto Acapulco?,w Meksyku
Jak oficjalnie nazywa się mlecz?,mniszek lekarski
Czy Cerber i Argos to ta sama postać?,nie
"Jak z greki nazywamy sport konny, jeździectwo?",hippika
Która operetka Johanna Straussa ma w swoim tytule latającego ssaka?,Zemsta nietoperza
"Kto w tradycji muzułmańskiej odbył na rumaku o imieniu Burak podróż z Mekki do Jerozolimy, a później do nieba?",Mahomet
W którym wieku Offenbach skomponował operetkę „Piękna Helena”?,w XIX
"Górnik Bulandra, kowalczyk Karlik, wojak Zeflik – to postaci z baśni Gustawa Morcinka czy braci Grimm?",Gustawa Morcinka
Na terenie którego parku narodowego wznosi się Kasprowy Wierch?,Tatrzańskiego Parku Narodowego
Sędzia z Pana Tadeusza był krewnym Sopliców czy Horeszków?,Horeszków
Jak z angielskiego nazywa się w boksie zwarcie?,klincz
Jakimi pojazdami można kierować dzięki kategorii A prawa jazdy?,motocyklami
Jak nazywa się najniższa figura w kartach?,walet
Jak miała na imię polska pisarka Nałkowska?,Zofia
"Jak nazywała się francuska pisarka, towarzyszka życia Fryderyka Chopina?",George Sand
