!kung | ['pigmeje']
100 | ['dwieście dwanaście', '212']
sojuszu lewicy demokratycznej | ['socjaldemokracji rzeczpospolitej polskiej', 'sdrp']
sokrates | ['diogenes z synopy', 'diogenes']
solidarność | ['bezpartyjny blok wspierania reform', 'bbwr']
sopran | ['primadonna']
spawaną | ['nitowaną']
srebra | ['ołowiu', 'ołów']
srebro | ['ruda']
srebro | ['tombak']
srebro | ['wolfram']
srebro | ['złoto']
sri lanka | ['malediwy']
stalowa | ['cuma']
stan wawrinka | ['roger federer']
stanisław | ['mirosław']
stanisław | ['wojciech']
stanisław august poniatowski | ['józef i andrzej załuscy', 'załuscy']
stanisław august poniatowski | ['kazimierz wielki']
stanisław august poniatowski | ['rembrandt van rijn']
stanisław baranowski | ['jan kowalczyk']
stanisław brzozowski | ['jerzy radziwiłowicz']
stanisław brzozowski | ['stefan bratkowski']
stanisław dybicz | ['roman polański']
stanisław dybowski | ['pawlik', 'bronisław pawlik']
stanisław hadynak | ['henryk tomaszewski']
stanisław halik | ['czesław nowicki']
stanisław ignacy witkiewicz | ['wacław niżyński']
stanisław jerzy lec | ['joanna chmielewska']
stanisław kulczycki | ['grzegorz lato', 'lato']
stanisław lem | ['jalu kurek']
stanisław lem | ['wiesław myśliwski']
stanisław maczek | ['generał franciszek kleeberg', 'kleeberg']
stanisław moniuszko | ['bedřich smetana', 'smetana']
stanisław moniuszko | ['giacomo puccini', 'puccini']
stanisław moniuszko | ['isaac bashevis singer', 'singer']
stanisław moniuszko | ['karol szymanowski']
stanisław moniuszko | ['wolfgang amadeusz mozart']
stanisław reymont | ['maria rodziewiczówna']
stanisław sojka | ['maria czubaszek']
stanisław soyka | ['łucja prus', 'prus']
stanisław staszewski | ['lucjan trela']
stanisław walaszczyk | ['józef chychła']
stanisław witkiewicz | ['auguste renoir', 'renoir']
stanisław wojciechowski | ['ignacy mościcki']
stanisław wyspiański | ['kazimierz junosza-stępowski']
stanisław wyspiański | ['molier', 'jean baptiste poquelin']
stanisław żeromski | ['molier', 'jean baptiste poquelin']
stanisława augusta | ['władysława ii jagiełły', 'jagiełły']
stanisława augusta | ['zygmunta ii augusta']
stanisława augusta poniatowskiego | ['tadeusza kościuszki', 'kościuszki']
stanisława moniuszki | ['artura rubinsteina']
stanisława wyspiańskiego | ['heleny modrzejewskiej']
stanisława wyspiańskiego | ['stefana jaracza', 'jaracza']
stanisławowi witkiewiczowi | ['mikołajowi rejowi', 'rejowi']
starożytny korynt | ['pierre de coubertin']
stefan bathory | ['zygmunt iii waza']
stefan batory | ['kazimierz iv jagiellończyk']
stefan batory | ['władysław iv waza']
stefan batory | ['zygmunt ii august']
stefan batory | ['zygmunt ii august']
stefan batory | ['zygmunt iii waza']
stefan kisielew | ['georgi dymitrow', 'georgi dimitrow michajłow']
steven spielberg | ['francis ford coppola']
sto | ['dziesięć', '10']
sto | ['jeden', '1']
sto | ['jedna dziesiąta', '10.01.2021', '0,1']
sto | ['milion', '1000000']
stronnictwo narodowe | ['proletaryat']
strzelec | ['rusznikarz']
styczeń | ['trzydziesty drugi', '32']
subiektywizm | ['relatywizm']
sultan | ['saba']
syberyjskie | ['azotowy']
sylabika | ['kipu']
sylwetka | ['diament']
synem | ['bratem zeusa', 'bratem']
synowie | ['menora', 'siedmioramienny świecznik']
syrena | ['polonez']
syrop | ['kogel-mogel']
szabla | ['bagnet']
szabla | ['kastaniety']
szabla | ['maczuga']
szabla | ['szpada']
szafka | ['pawlacz']
szare krążenie | ['jaskra']
szarpany | ['strunowy szarpany']
szary | ['złotego']
szczupak | ['dorsz', 'dorszowate']
szczupła | ['pełna']
szczurzej szmatą | ['fletem']
szczurzyce | ['termity']
szczęście | ['serce']
szef sztabu | ['adiutant']
szefa sztabu wodnego | ['dowódca floty stanów zjednoczonych na pacyfiku', 'dowódca floty usa']
szerokie łapy | ['rudy 102', '„rudy”']
sześć | ['90210']
sześć | ['dwadzieścia cztery', '24']
sześć | ['dziesięć', '10']
sześć | ['osiem', '8']
sześć | ['osiem', '8']
sześć | ['siedem', '7']
sześć | ['trzy tysiące sześćset', '3600']
szkielet | ['tęczówka']
szkielet krzyżowy | ['sekstant']
szklanka | ['pipeta']
szmaragd | ['ametyst']
szmatka | ['bakszysz']
szosa | ['tartak']
szparag | ['jaś', 'fasola jaś']
szparag | ['oberżyna']
szperacz | ['kiełbasa']
szpilka | ['ciżma']
sztuczki | ['gogle']
sztuczna kończyna górna | ['implant wewnątrznaczyniowy']
sztylet | ['miecz']
szwadron | ['batalion']
szwadron | ['jaszcz']
szwalnia | ['krynolina']
szwedzki | ['tonik']
szyszynka | ['gardło']
sąd najwyższy | ['sanhedryn']
sędzia | ['ławnik']
słodka czerwona papryka | ['ziarna gorczycy', 'gorczyca']
słodkowodny | ['morski']
słoma | ['siano']
słonika | ['kukułki']
słuch | ['trąbka eustachiusza']
tablica przestankowa | ['interpunkcja']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
tak | ['nie']
telewizyjna | ['telegazeta']
tendenciówka | ['ścięgno achillesa']
tezeusz | ['kreon']
tiger | ['tygrysy']
tlenu | ['azotu']
togata | ['toga']
tonie | ['pływa']
torpedowcem | ['okrętem podwodnym']
tr warszawa | ['cricot 2']
tragedia | ['melpomene']
traktat | ['konkordat']
trebuchet | ['katapulta']
trolejbusem | ['motorowerem']
truskawki | ['kokosa']
trzcinią | ['wczele']
trzech | ['dziewięciu', '9']
trzecia | ['żadna']
trzecia potęga | ['sześcianem']
trzeciej | ['kenozoiku']
trzodziej | ['tuaregowie']
trzy | ['cztery', '4']
trzy | ['cztery', '4']
trzy | ['cztery', '4']
trzy | ['cztery', '4']
trzy | ['cztery', '4']
trzy | ['dwa', '2']
trzy | ['dwa', '2']
trzy | ['dwa rogi', '2']
trzy | ['dwie', '2']
trzy | ['dwie', '2']
trzy | ['dwie', '2']
trzy | ['dwie', '2']
trzy | ['jeden', '1']
trzy | ['pięć', '5']
trzy | ['sześć', '6']
trzy | ['sześć', '6']
trzy | ['sześć', '6']
trzy | ['trzydzieści', '30']
trzy | ['żadnych', 'zero']
trzydzieści | ['21 lat']
trzydzieści | ['35 lat', '35']
trzydzieści | ['cztery', '4']
trzydzieści | ['dziesięć', '10']
trzydzieści | ['pięć', '5']
trzydzieści sześć | ['jeden obol', '1 obol']
trzódka | ['wirydarz']
trójkąt szczękowy | ['tangensoida']
trójkąta | ['pole kwadratu']
trójkątem | ['126p']
trójnik | ['serafin']
trójprzewodnikowy | ['tranzystor']
trąbka | ['hołubiec']
tysiąc | ['promil']
tłuszczu | ['wody']
uriah heep | ['„varius manx”']
via appia | ['autostrada słońca', 'autostrada del sole']
videokaseta | ['magnetowid']
vltava | ['wełtawa']
w 1,3 s | ['8 minut i 20 sekund', '8 minut']
w 1000 | ['w 1966']
w 1423 | ['w 1000']
w 1435 | ['w 1660']
w 1929 | ['w 1920']
w 1929 | ['w 1926']
w 1940 | ['w 1929']
w 1940 | ['w 1943']
w 1944 | ['w 1945']
w 1948 | ['w 1916']
w 1948 | ['w 1947']
w 1968 | ['w 1970']
w 1981 | ['w 1982']
w 1989 | ['w 1991']
w 1995 | ['w 1991']
w 2021 | ['w 2022']
w ameryce | ['w ameryce południowej', 'ameryka płd.']
w ameryce | ['w azji', 'azja']
w ameryce | ['w azji', 'azja']
w arktyce | ['małej niedźwiedzicy']
w banku | ['w lombardzie']
w belgii | ['belgia']
w belgii | ['we francji']
w belwederze | ['w zachęcie', 'w gmachu zachęty', 'zachęta']
w beskidzie śląskim | ['w tatrach', 'tatry']
w beskidzie śląskim | ['w tatrach', 'tatry']
w bitwie pod legnicą | ['pod legnicą']
w bitwie pod maciejowicami | ['pod maciejowicami']
w bitwie pod parkanami | ['pod parkanami']
w boksie | ['szachach']
w bydgoszczy | ['w dęblinie']
w bydgoszczy | ['w sopocie', 'sopot']
w chile | ['brazylia']
w cuda | ['w zmartwychwstanie jezusa chrystusa', 'że jezus żyje']
w czasie świetlnym | ['dwóch lat', '2 lata']
w czerwcu | ['w styczniu', 'styczeń']
w czerwonym | ['żółte', 'pomarańczowe']
w części iii | ['w trzeciej', '3']
w dwie | ['jeden', '1']
w europie | ['w azji', 'azja']
w frankfurcie | ['w gdańsku']
w gwiazdozbiorze białego | ['wielkiej niedźwiedzicy']
w hawajach | ['hawajów']
w hungarycie | ['na węgrzech']
w iv | ['w iv p.n.e.']
w ix wieku | ['w 988']
w jedną sekundę | ['w sześć', '6']
w jerozolimie | ['w betlejem']
w kafarnaum | ['w betanii']
w karkonoszach | ['w tatrach', 'tatry']
w krakowie | ['w częstochowie']
w krakowie | ['w gdańsku']
w krakowie | ['w leśnej górze', 'leśna góra']
w krakowie | ['w łodzi', 'łódź']
w kłębie | ['kościelna']
w liście szczawiu | ['w liście winorośli', 'winorośli']
w lubelskiej | ['w mazowieckim']
w monachium | ['w tokio']
w morzu martwym | ['w saint tropez']
w morzu śródziemnym | ['w tulonie']
w muzeum archeologicznym w stambule | ['w luwrze', 'luwr']
w muzeum kremla | ['na kremlu']
w naszej erze | ['przed naszą erą']
w naszej erze | ['przed naszą erą']
w niemczech | ['w wielkiej brytanii', 'w anglii']
w niemczech | ['we włoszech', 'włochy']
w noc kwiatów | ['w noc świętojańską']
w nowym sączu | ['na cmentarzu łyczakowskim', 'na łyczakowskim']
w paryżu | ['w londynie']
w paryżu | ['w rouen']
w pałacu kultury i nauki | ['w pałacu namiestnikowskim']
w październiku | ['we wrześniu']
w pizie | ['w krakowie']
w poznaniu | ['w wenecji']
w poznaniu | ['we wrocławiu']
w pradze | ['w kanossie']
w przedniej | ['w tylnej części jej ciała', 'w tylnej']
w roland garros | ['w paryżu']
w rosji | ['w polsce']
w sankt petersburgu | ['w moskwie']
w skokach | ['bieg na 100 m przez płotki', '100 m ppł']
w skokach | ['w pchnięciu kulą']
w skokach | ['w podnoszeniu ciężarów']
w skokach | ['w rzucie oszczepem']
w skokach | ['w trójskoku']
w skokach | ['w zapasach']
w skoku wzwyż | ['w pchnięciu kulą']
w sopocie | ['w krynicy-zdroju']
w st petersburgu | ['w krakowie']
w stanach skupienia | ['we trzech', '3']
w stanach zjednoczonych | ['w danii']
w stanach zjednoczonych | ['w hiszpanii']
w stanach zjednoczonych | ['w wielkiej brytanii', 'w anglii']
w stanie wyoming | ['na alasce', 'alaska']
w stanisławowie | ['w zamku królewskim', 'na zamku']
w starożytności | ['w średniowieczu']
w szachy | ['w dominie', 'domino']
w szkle | ['w wosku']
w szkołach średnich | ['na uczelniach wyższych']
w tatrach | ['w karkonoszach']
w teheranie | ['jałtańskiej', 'na konferencji jałtańskiej', 'w jałcie']
w trzy | ['w dziewięćdziesiąt', '90']
w turcji | ['w usa', 'w stanach zjednoczonych']
w uchu | ['w nosie']
w v | ['w v p.n.e.']
w warszawie | ['w 1959']
w warszawie | ['w gliwicach']
w warszawie | ['w katowicach']
w warszawie | ['w krakowie']
w warszawie | ['w krakowie']
w warszawie | ['w magdalence']
w warszawie | ['w żelazowej woli']
w warszawie | ['we lwowie']
w warszawie | ['we wrocławiu']
w watykanie | ['na cmentarzu monte cassino', 'pod monte cassino']
w watykanie | ['w rzymie', 'rzym']
w wenecji | ['w krakowie']
w wiedniu | ['w katedrze wawelskiej', 'na wawelu', '0']
w wielkiej brytanii | ['w wietnamie']
w wodzie | ['w alkoholu']
w wyniku posiedzenia | ['wypił cykutę', 'popełnił samobójstwo']
w włoszech | ['w egipcie', 'egipt']
w włoszech | ['w usa', 'w stanach zjednoczonych']
w włoszech | ['we francji']
w x | ['w xix', '19']
w xiii | ['w xi', '11']
w xiii | ['w xiv', '14']
w xiv | ['w xii', '12']
w xiv | ['w xiii', '13']
w xiv | ['w xv', '15']
w xiv | ['w xv', '15']
w xiv | ['w xv', '15']
w xix | ['w xviii', '18']
w xix | ['w xviii', '18']
w xix | ['w xviii', '18']
w xix | ['w xx', '20']
w xix | ['w xx', '20']
w xix | ['w xx', '20']
w xv | ['w xii', '12']
w xv | ['w xiv', '14']
w xv | ['w xix', '19']
w xvii | ['w xiii', '13']
w xvii | ['w xiv', '14']
w xvii | ['w xvi', '16']
w xvii | ['w xviii', '18']
w xx | ['w xix', '19']
w xx | ['w xxi', '21']
w xx | ['w xxi', '21']
w „balladzie o zamku ks. janusza” | ['„romantyczność”']
w „dziadach” | ['w „panu tadeuszu”', '„pan tadeusz”']
w „dzienniku zachodnim” | ['w trójce', 'w trzecim', '3']
w „gitanjali” | ['giaur', 'w „giaurze”']
w „odpowiedź na „memoriał”” | ['pieśń o spustoszeniu podola przez tatarów']
w „philadelphia” | ['„forrest gump”']
w „przedstawieniu na cześć króla” | ['„chory z urojenia”']
w1937 | ['w 1925']
wadliwe czytanie | ['kurza ślepota']
wadą wzroku | ['wzroku', 'oka', 'oczu']
walec | ['kafar']
waluta kursowa | ['rewaloryzacja']
wapnia | ['potasu']
warsaw contemporary music festival | ['„warszawska jesień”']
warsaw school of economics | ['szkoła główna handlowa']
warszawa | ['rzym']
warszawski | ['uniwersytet wileński', 'wileński']
watykan | ['genewa']
watykanu | ['cesarstwa rzymskiego', 'rzymu']
watykański | ['prawosławny']
wenecja | ['luwr', 'louvre']
wenecka | ['sforzowie']
wenus | ['neptun']
wesela | ['osy']
wesele | ['„wierna rzeka”']
wiatr | ['lewitacja']
wie | ['się śmieje ostatni']
wie lepiej | ['ten sam w nie wpada']
wieczne | ['sabat']
wiednia | ['mysłowic']
wielka jadowita kobra | ['królewska']
wielki świat | ['odrodzenie']
wielkiego niedźwiedzia | ['był mamutem', 'mamut']
wielkim | ['tadeusza kościuszki', 'kościuszki']
wielką literą | ['rejestr']
wieprze | ['pokorne']
wiera | ['marusia']
wierzba | ['bambus']
wierzchołek | ['cecha']
wieża | ['ambona']
wilczyca | ['cielę', 'wół']
wilczyca | ['wiewiórkę']
willy brandt | ['helmut schmidt']
wincenty ferdynand | ['wilhelm tell']
windysta | ['kalikant']
wino | ['bukiet']
wiodą | ['myje']
wir | ['rumb']
wirusowa | ['bakteryjna']
wisła | ['warta']
wisła kraków | ['manchester city']
wisłoków | ['wiślan']
więcej | ['mniej niż metr', 'mniej']
wnuk | ['byli braćmi', 'bracia']
wodnik | ['skorpion']
wodę | ['złote jabłka']
wojciech jerzy has | ['leopold tyrmand']
wojciechowski | ['gabriel narutowicz']
województwa zachodniopomorskiego | ['zachodniopomorskiego']
województwo | ['gromada']
wojna chmielnickiego | ['lajkonik']
wojna trzydziestoletnia | ['potop szwedzki']
wolna iberystów | ['zrzeszenie wolność i niezawisłość']
wolniejsze | ['szybsze']
wolność | ['stany']
wolter | ['rosynant', 'rocinante']
wrodzonym instynktem | ['jego drugą naturą', 'drugą naturą człowieka']
wrony | ['i one']
wstążka | ['szpilki']
wstęp i epilog | ['„pamiętnik starego subiekta”']
wstępem | ['zakończeniem']
wulkana | ['lawa']
wybitny kompozytor | ['dominikańczyk']
wybrzeże kości słoniowej | ['górna wolta']
wybrzeże kości słoniowej | ['półwysep iberyjski', 'iberyjski']
wybuchu wulkanu vesuvius | ['wezuwiusza']
wychowanie | ['obyczaj']
wychowawca | ['ojcem', 'ojciec']
wymiana | ['barter']
wypasaniem owiec | ['rybołóstwem']
wyrok | ['glosa']
wyspa | ['enklawa']
występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depresje występują w polsce depres | ['w delcie wisły', 'wisły']
wyższe ciążenie | ['nieważkość']
wódka | ['ropa naftowa']
wódka | ['sok z gumijagód', 'gumijagody']
węgiel | ['natura']
węgiel | ['ogień']
węgla | ['glinu']
węgla | ['wodoru']
władca feudalny | ['suweren']
władimir putin | ['wiktor suworow']
władysław | ['kazimierz']
władysław reymont | ['eliza orzeszkowa']
władysław reymont | ['mario puzo']
władysław stanisław reymont | ['pierre beaumarchais']
władza ustawodawcza | ['konstytucja', 'konstytucja rzeczypospolitej polskiej']
właścicielka | ['gaździna']
włos | ['powieka']
włoski | ['łaciną', 'łacińskim']
włoskiej | ['był argentyńczykiem']
włoskiej | ['francuskiej']
włosy | ['w zbroję']
włókna | ['odległości']
xawery dunikowski | ['wacław szymanowski']
yangzi | ['jangcy']
yatch | ['katamaran']
z | ['iq']
z akwizgranu | ['z akwinu']
z ameryki północnej | ['z azji']
z berlina | ['w niemczech']
z brazylią | ['z węgrami', 'węgry']
z cdu | ['cdu']
z cytryny | ['z wiśni']
z czterech | ['z dwudziestu czterech', '24']
z dwóch | ['z trzech', '3']
z dynastii bourbonów | ['z burbonów']
z dynastii bourbonów | ['z burbonów']
z dynastii grimaldi | ['z grimaldich']
z dynastii stuartów | ['ze stuartów']
z dynastii tudorów | ['z tudorów', 'tudorowie']
z francji | ['z rosji']
z francuskiego | ['z niemieckiego']
z gambii | ['z francji']
z grecji | ['z hiszpanii']
z kart | ['z warzyw']
z krainy cieni | ['z rivii', 'rivia']
z kwiatów | ['z kory']
z kwitkiem | ['z motyką']
z lewej | ['z młodej']
z lotniska w gibraltarze | ['z gibraltaru']
z miasta papryka | ['ze szczecina']
z mleka sojowego | ['z soi', 'soja']
z niemcami | ['z austriakami', 'z austrią']
z nrd | ['z zsrr']
z okazji wystawy w wenecji | ['otwarcia kanału sueskiego']
z owiec | ['z kóz']
z papieru | ['z maku', 'mak']
z pięciu | ['z jedenastu', '11']
z plotką | ['z kaczką']
z prędkością 80 km/h | ['40 km/h']
z sierpnia | ['z trzciny cukrowej']
z trzech | ['z dwudziestu trzech', '23']
z trzech | ['z dwunastu', '12']
z trzech | ['z dwóch', 'z dwu', '2']
z trzech | ['z dwóch', 'z dwu', '2']
z trzech | ['z dwóch', 'z dwu', '2']
z trzech | ['z siedmiu']
z watykanu | ['z bazyliki św. piotra']
z wody | ['z pustego']
z wstępu | ['z drugiej', '2']
z włoch | ['z francji']
z włoch | ['z węgier', 'węgry']
z włoch | ['ze szwajcarii']
z żyta | ['z jęczmienia']
z „bragi” | ['z „aurory”']
z „nieboszczyka” | ['z „warszawianki”']
z „wesela” | ['z czterech', '4', '4']
za dunajem i górą krakowiak | ['za siódmą', 'za siedmioma', '7']
za krzywdy wyrządzone królowej | ['za konia', 'koń']
za nielegalne przepisywanie pieniędzy | ['za oszustwa podatkowe']
za prezydentury lecha wałęsy | ['stanisława wojciechowskiego']
zakopane | ['szczyrk']
zamiast nuty | ['przed nutą']
zasady zachowania energii | ['trzeciej', '3']
zatoka dziwnowa | ['świna']
zawałem | ['została otruta']
zawsze | ['co cztery', '4']
zbigniew | ['wojciech']
zbigniew pietraszkiewicz | ['wiesław rozłucki']
zbigniew wodecki | ['adam słodowy']
zbigniew zamachowski | ['kazimierz kaczor', 'kaczor']
zbigniew zamachowski | ['stanisław mikulski']
zbyszek | ['alicja']
zemsta nietoperza | ['„wesoła wdówka”']
zenon | ['zenon z kition']
zeus | ['parys']
zielonym | ['białym']
ziemia | ['jowisz']
ziemia | ['merkury']
ziemia | ['słońce']
ziemniaki | ['oziminy']
znaki drogowe | ['sygnały świetlne']
zsolt erdei | ['lászló papp', 'papp']
zsrr | ['chiny']
zwierząt | ['roślin']
zwrot | ['pleonazm']
zygmunt august | ['bolesław ii śmiały']
złoty | ['marka polska']
złoty mikrofon | ['złoty samowar']
złotymi | ['jedną setną', 'setną', '0,01']
zły i cudowny świat | ['martin eden']
łabędź | ['dziki']
łabędź | ['tępa podkowa']
łada | ['sojuz']
łady | ['niva']
łazarz | ['piłat']
łazienki | ['morskie oko']
łodzie torpedowe | ['torpeda']
łukasz | ['jacek']
łukasz i paweł | ['mateusz i jan', 'jan i mateusz']
łukasz mołdawin | ['chaim weizmann']
ściganie | ['list gończy']
ślubny | ['liberia']
śmiertelny skok | ['skok śmierci']
śmierć ich | ['dzień gniewu']
śmierć komendanta | ['„dyktator”']
śnieżka | ['turbacz']
śpiewaczka | ['śpiewaczką operową']
św. bonifacy | ['karol młot']
św. filip | ['szymon cyrenejczyk', 'szymon z cyreny']
św. paweł | ['św. łukasz', 'łukasz ewangelista']
św. piotr | ['piotr']
św. stanisław | ['św. krzysztof']
światowa | ['kolej transsyberyjska']
światowa organizacja handlu | ['united nations relief and rehabilitation administration', 'unrra']
świetliki | ['stentor']
świątynia apollina | ['panteon']
święta góra | ['ślęża']
święto trzydziestki | ['kuroniówka']
żaglowiec | ['bojer']
żebra | ['nadgarstek']
żona wszystkich mężów | ['„wesoła wdówka”']
żyj sztuką | ['„niech żyje sztuka!”']
żywny | ['śniadeccy', 'śniadecki']
αβγ | ['alfa, beta, gamma']
„agentka 007” | ['„śmierć nadejdzie jutro”']
„alpha” | ['alfa']
„bajki betlejemskie” | ['alibaba i 40 rozbójników', 'alibaba i czterdziestu rozbójników']
„bounty” | ['mazurek']
„braveheart” | ['serce']
„cyrk” | ['„dziady”']
„czterej pancerni i pies” | ['„07 zgłoś się”']
„dzienniki znachora” | ['„doktor żywago”']
„galileo, wygrałeś!” | ['galilejczyku, zwyciężyłeś!']
„harpagon” | ['„skąpiec”']
„krakowianin w warszawie” | ['ze „świętoszka”', '„świętoszek”']
„m jak miłość” | ['„ranczo”']
„makbet” | ['nie']
„mam talent” | ['„familiadę”']
„myszka i szczurka” | ['„kabaret starszych panów”']
„nasze matki mówią nam” | ['„moralność pani dulskiej”']
„nie dla wojny, lecz dla pokoju” | ['„żeby polska była polską”']
„nie jestem człowiekiem” | ['jezus nazarejczyk król żydowski', 'iesus nazarenus rex iudaeorum']
„niebo na ziemi” | ['„requiem”']
„niegrzeczna taneczna” | ['„wirujący seks”']
„nielegalna” | ['„dziewczyna szamana”']
„niezwyciężony” | ['„pianista”']
„noce i dnie” | ['„ogniem i mieczem”']
„o szlachcicach i poddanych” | ['żeńcy']
„olbracht” | ['dar młodzieży']
„open sesame” | ['„sezamie, otwórz się”']
„pamiętniki znachora” | ['„trzej muszkieterowie”']
„pasja” | ['wielka orkiestra świątecznej pomocy', 'wośp']
„pictures at an exhibition” | ['„obrazki z wystawy”']
„pierwiosnek” | ['„mistrz i małgorzata”']
„pierwsza miłość” | ['„niewolnica isaura”']
„polityki” | ['„sztandar młodych”']
„porwanie baltazara gąbki” | ['„rumcajs”']
„przede wszystkim nie szkodzić” | ['po pierwsze nie szkodzić']
„przeglądu polskiego” | ['„tygodnika powszechnego”']
„przestępstwo i kara” | ['„waszyngton za zamkniętymi drzwiami”']
„przez kraj czerwonej kapusty” | ['jarosława iwaszkiewicza']
„przygody dobrego szczura” | ['„kingsajz”']
„pułapka” | ['szklana']
„pytanie na śniadanie” | ['„wielka gra”']
„płaską ziemią” | ['„władca much”']
„szabla i koniuszek” | ['jeden za wszystkich, wszyscy za jednego']
„s” | ['s']
„titanic” | ['„ben-hur”']
„to be” | ['być albo nie być']
„tosca” | ['w tosce']
„w pogoni za szczęściem” | ['w „lalce”', '„lalka”']
„w pustyni i w puszczy” | ['„ludzie bezdomni”']
„w pustyni i w puszczy” | ['„popioły”']
„w pustyni i w puszczy” | ['„syzyfowe prace”']
„w pustyni i w puszczy” | ['„szatan z 7 klasy”']
„wesela” | ['„chłopów”', '„chłopi”']
„wiadomości” | ['dziennik telewizyjny', 'dziennik']
„wyprawa na wschód” | ['w „jądrze ciemności”']
